Файл,Тип кампании,Уровень,ID группы,Название группы,Номер группы,Минус-фраза,Слов,Длина
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!в красногвардейском районе,3,28
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!для самогона !и настоек,4,25
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!для хранения,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!или,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!как,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!как сделать,2,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!как упаковать сумку !в подарок,5,32
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!когда,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!кому,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!на cd дисках,3,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!одно,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!от 1,2,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!от 1 шт,3,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!с рук,2,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!своими,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!своими руками,2,15
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!собой,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!такое,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!чего,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!чем,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!что,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!что !такое,2,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!это,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,"-""инструкции по охране труда для больницы""",6,42
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,"-""сколько стоит упаковать""",3,26
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-1 шт,2,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-3d,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-3д,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-APK,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ai,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-cdr,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ozon,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-pdf,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-png,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-podrochu,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-psd,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-wb,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-wildberries,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-youtube,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-авито,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-адрес,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-аксессуары,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-акт,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-банки под таблетки,3,19
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-бесплатно,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-бланк,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-бу,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-букв,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-бывает,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-вайлдберриз,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-вакансии,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-варианты,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-видео,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-виды,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-википедия,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-витамин,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-возможности,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-войти,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-вопрос,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-вход,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-выбор,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-выглядит,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-выкройка,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-где,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-где упаковать,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-готовое решение,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-готовый,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-действует,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-дерево,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-деревянная,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-дизайн коробки,2,15
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-дизайн упаковки,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-диплом,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-документация,1,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-дома,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-духи оптом питер,3,17
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-закон,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-зарплата,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-зачем,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-заявление,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-значение,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-значит,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-инструкции !по охране труда !для больницы,6,42
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-исходник,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ищем,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-кабинет,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-какое,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-картинка,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-карточка товара,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-комментарии,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-куда,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-купить б !у,3,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-купить подложку под торт !от производителя,6,43
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-куплю готовое,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-курсовая,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ли,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-личный,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-лучше,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-лучше !чем,2,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-макет бесплатно,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-макеты,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-маленький,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-маленький тираж,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-малый,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-малый тираж,2,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-марка !и конструкция картонной упаковки,5,40
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-маркетплейс,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мастер класс,2,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мдф,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мем,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мод,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мультик,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мультфильм,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мягкая упаковка,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-название,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-называется,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-наклейка,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-недостатки,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-номенклатура,1,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-норматив,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-нормы,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-обзор,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-образец,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-обувь,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-объемная,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-означает,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-озон,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-определение,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-органайзер,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-особенности,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-отзывы,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-откуда,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-отличается,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-отличия,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пакет,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пароль,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-паспорт,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-первая помощь,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать !на cd дисках принтер услуга,6,36
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать !на кружке,3,18
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать !на кружке хамелеон,4,27
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать !на пробке бутылке !при укупорке,6,40
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать бланок,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать газет,2,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать журнала,2,15
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать книг,2,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пиробумага !для торта,3,22
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пишется,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пластик,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пластиковая,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пленка,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пленка пвх,2,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-плотность коробочного картона,3,30
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-плюс,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пнг,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-поблизости,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-повязка !на голову wilson !в подарочной упаковке,7,49
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-подарочные сертификаты,2,23
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-подставка,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-полиэтилен,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-полка,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-почему,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-правила,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-представляет,1,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-преимущества,1,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пример,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-принт салон типография якутск,4,30
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-проблема,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-протокол,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-работа,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-развертка,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-развод,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-размеры коробок,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-размеры упаковки,2,17
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-разница,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-резюме,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-рейтинг,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-реферат,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-розница,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-руководство,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-рядом,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-самому,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-самостоятельно,1,15
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-санкт петербург загородный проспект 13 копирка,6,47
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-свойства,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-сделать самому,2,15
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-сезон,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-сериал,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-серия,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-сидр,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-силиконовые формы !для бисквита упругие,5,40
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-скачать,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-скачать макет,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-скорой,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-словами,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-смотреть,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-смысл,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-создание карточек,2,18
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-сравнение,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-стикер,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-студентов,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-суть,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-схема,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-тампопечать,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-телефон,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-термотрансфер,1,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-термоэтикетка,1,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-типы,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-тоже,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-торрент,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-требования,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-требуется,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-укладка,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ультрафиолетовая печать,2,24
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-упаковать подарок,2,18
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-условия,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-фабрика духов,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-фанера,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-фз,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-фильм,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-фляга,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-форма,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-форум,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-фото,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-фотогалерея,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-фулфилмент,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-характеристика,1,15
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-хранение,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-хуже,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-цветомания,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-чача,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-чертеж,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-чит,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-читать,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-шаблон,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-шаблон макета,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-шелкография,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-шт,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-штук,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-штучно,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-этикетки !для бутылок самогона сделать,5,39
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-юла,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-юмор,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ютуб,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-яндекс маркет,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!как,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!как сделать,2,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!когда,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!от 1 шт,3,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!своими,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!своими руками,2,15
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!чего,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!чем,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!что,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-!что !такое,2,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-1 шт,2,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-3d,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-3д,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-ai,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-cdr,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-horeca,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-ozon,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-pdf,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-png,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-psd,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-wb,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-wildberries,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-youtube,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-авито,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-алкоголь,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-бесплатно,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-бесплатный макет,2,17
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-бу,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-вайлдберриз,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-вакансии,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-видео,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-википедия,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-вино,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-вода,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-выкройка,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-где,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-готовое решение,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-готовый,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-дерево,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-деревянная,1,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-диплом,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-еда,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-зарплата,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-зачем,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-значение,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-исходник,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-ищем,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-какое,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-карточка товара,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-кафе,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-комментарии,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-косметика,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-кофе,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-куплю готовое,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-курсовая,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-лучше !чем,2,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-лучший,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-макет,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-маленький тираж,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-малый тираж,2,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-маркетплейс,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-мастер класс,2,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-мдф,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-меню,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-мультик,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-мягкая упаковка,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-наклейка,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-напитки,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-обзор,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-образец,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-объемная,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-означает,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760359467,Фармацевтика (Ключи),1,-озон,1,5
