Файл,Тип кампании,ID группы,Название группы,Номер группы,ID фразы,Фраза,Тип фразы,Операторы,Статус фразы,Ставка,Регион,Длина
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,41762401,audience:Были на сайте типографии больше 50 секунд,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",50
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,41115562,audience:Был на сайте Типографии,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,42126667,audience: Копия Были на сайте типографии больше 30 сек и смотрели партфолио Фармацевтика,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",88
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361558,упаковка для фармацевтики спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",29
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361559,gmp упаковка спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",16
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361560,печать инструкций медицинских спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",33
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361561,картонные коробки для лекарств спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",34
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361562,вкладыши для лекарств спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",25
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361563,фармацевтическая упаковка заказ,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361565,упаковка для БАД спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361566,коробки для фармпрепаратов спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",30
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,205760359467,---autotargeting,Автотаргетинг,,Приостановлена,,"Россия, -Сибирь, -Дальний Восток",16
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401077,коробки для лекарств,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401078,коробки для преператов,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401079,"""картонная упаковка для препаратов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",35
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401080,картонная упаковка для фарм препаратов,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",38
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401081,"""упаковка для таблеток""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401082,упаковка из картона для таблеток,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401083,"""картонная пачка для таблеток""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",30
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401084,картонная упаковка для таблеток,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401085,производство картонных пачек для таблеток,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",41
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401086,печать инструкций вкладыш,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",25
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401087,изготовление инструкций вкладыш,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033819,"""фармацевтическая упаковка""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033820,"""упаковка для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033821,"""упаковка для препаратов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",25
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033822,"""коробки для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033823,"""коробки для препаратов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033824,"""картонные коробки для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033825,"""упаковка для БАД""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",18
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033826,"""коробки для БАД""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",17
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033827,"""вкладыши для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033828,"""печать инструкций медицинских""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033829,"""инструкции для препаратов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033830,"""фармацевтическая упаковка на заказ""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",36
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033831,"""упаковка для фармацевтики""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033832,"""gmp упаковка""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",14
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033833,"""упаковка по GMP""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",17
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033834,"""коробки для таблеток""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033835,"""пачки для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033836,"""картонная упаковка для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",33
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033837,[фармацевтическая упаковка],Ключевая,[],Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033838,[коробки для лекарств],Ключевая,[],Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033839,[печать инструкций медицинских],Ключевая,[],Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57996817010,изготовление инструкций с фальцовкой,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",36
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57996835051,печать вкладышей в лекарства,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",28
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,58020711295,упаковка по ГОСТ Р ИСО 15378-2017,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",33
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,41762401,audience:Были на сайте типографии больше 50 секунд,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",50
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,41115562,audience:Был на сайте Типографии,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,42126593,audience: Были на сайте типографии больше 30 сек и смотрели партфолио Косметика и парфюмерия,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",92
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57447364254,коробки для парфюмерии спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",26
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57447364257,премиум упаковка спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57447364258,коробки с тиснением спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57447364259,ламинированные коробки спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",26
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57447364260,упаковка для кремов спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57447364261,дизайнерская упаковка косметика спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",35
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,205760359820,---autotargeting,Автотаргетинг,,Приостановлена,,"Россия, -Сибирь, -Дальний Восток",16
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57909622284,"""упаковка для косметики""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57909622285,"""упаковка для парфюмерии""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",25
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035971,"""коробки для косметики""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035975,"""ламинированные коробки""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035976,"""коробки с тиснением""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",21
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035977,"""премиум упаковка""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",18
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035979,"""упаковка для пробников""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035980,"""мини упаковка для косметики""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",29
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035981,"""дизайнерская упаковка косметика""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",33
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035982,"""коробки для туши""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",18
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035983,"""упаковка для парфюма""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035984,"""коробки для духов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",19
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035985,[упаковка для косметики],Ключевая,[],Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57919035986,[коробки для парфюмерии],Ключевая,[],Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277257,коробка для парфюма,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",19
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277258,коробки для парфюмерии оптом,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",28
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277259,"""упаковка для крема""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277260,типография +упаковка,Ключевая,+,Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277261,складные коробки для косметики,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",30
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277262,упаковка для косметики,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277264,"""коробка для крема""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",19
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277265,складные коробки для крема,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",26
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277267,складные коробки для парфюмерии,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277268,"""коробка для парфюмерии""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996277269,упаковка для парфюма,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359820,Косметика и парфюмерия (Ключи),2,57996815649,упаковка для пробников духов,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",28
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,41762401,audience:Были на сайте типографии больше 50 секунд,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",50
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,41115562,audience:Был на сайте Типографии,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,42126704,audience: Были на сайте типографии больше 30 сек и смотрели партфолио Food-Non-Food,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",83
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57447368721,упаковка для пищевых продуктов спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",34
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57447368722,коробки для продуктов питания спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",33
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57447368726,упаковка для кондитерских изделий спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",37
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,205760360081,---autotargeting,Автотаргетинг,,Приостановлена,,"Россия, -Сибирь, -Дальний Восток",16
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57482371358,производство упаковки для мороженого,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",36
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57483331752,коробки для чая и кофе,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909599454,"""упаковка для кондитерских""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909599455,"""упаковка для пищевых производств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",34
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909610546,картонная упаковка для пищевых производств,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",42
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909610547,производитель картонной упаковки,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909613189,"""упаковка оптом для производителей""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",35
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909613190,"""упаковка для кондитерских изделий""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",35
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909613191,"""кондитерская упаковка для тортов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",34
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909613193,"""упаковка для кондитерских изделий оптом""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",41
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909613194,"""производитель упаковки для кондитерских""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",41
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909613195,купить упаковку для кондитерских изделий,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",40
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909613196,"""производство упаковки для кондитерских изделий""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",48
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909613197,упаковка для кондитерских изделий оптом от производителя,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",56
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679957,упаковка для кондитерских изделий производство,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",46
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679959,"""производитель упаковки для кондитерских изделий""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",49
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679960,упаковка для кондитерских изделий кондитерские коробки,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",54
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679961,упаковка для кондитерских изделий для торта,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",43
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679962,"""коробки для кондитерских изделий""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",34
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679963,"""кондитерские коробки""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679964,коробки для кондитерских фабрик,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679965,упаковка для кондитерских фабрик,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679966,упаковка для кондитерских заводов,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",33
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679967,производство бумажной упаковки для пищевых продуктов,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",52
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679968,производство упаковка для пищевой продукции,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",43
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57909679969,"""производство упаковки для пищевых продуктов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",45
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049222,"""пищевая упаковка""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",18
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049223,"""упаковка для пищевых продуктов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049224,"""коробки для продуктов питания""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049225,"""картонная упаковка для еды""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",28
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049226,"""упаковка для non-food""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049227,"""коробки для бытовой химии""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049228,"""упаковка для бытовой химии""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",28
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049229,"""картонные коробки для продуктов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",33
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049230,"""самосборные коробки пищевые""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",29
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049231,"""упаковка для фасовки""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049232,[пищевая упаковка],Ключевая,[],Работает везде,,"Россия, -Сибирь, -Дальний Восток",18
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57919049233,[коробки для продуктов питания],Ключевая,[],Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57996563369,упаковка под сладости,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",21
710718813.xlsx,Единая перфоманс-кампания,5760360081,Food & Non-food (Ключи),3,57996775979,ложемент для плиток шоколада,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",28
710718813.xlsx,Единая перфоманс-кампания,5760360703,Retail и FMCG (Ключи),4,41762401,audience:Были на сайте типографии больше 50 секунд,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",50
710718813.xlsx,Единая перфоманс-кампания,5760360703,Retail и FMCG (Ключи),4,41115562,audience:Был на сайте Типографии,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760360703,Retail и FMCG (Ключи),4,42126735,audience: Были на сайте типографии больше 30 сек и смотрели партфолио Retail и FCMG,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",83
710718813.xlsx,Единая перфоманс-кампания,5760360703,Retail и FMCG (Ключи),4,57447374271,упаковка для ритейла спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760360703,Retail и FMCG (Ключи),4,57447374272,коробки для e commerce спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",26
710718813.xlsx,Единая перфоманс-кампания,5760360703,Retail и FMCG (Ключи),4,57447374273,fmcg упаковка спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",17
710718813.xlsx,Единая перфоманс-кампания,5760360703,Retail и FMCG (Ключи),4,57447374274,упаковка для маркетплейсов спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",30
710718813.xlsx,Единая перфоманс-кампания,5760360703,Retail и FMCG (Ключи),4,57447374275,картонные коробки оптом спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
